epoch,elapsed_sec,epoch_duration_sec,samples_per_sec,train_loss,val_loss,train_top1_acc,val_top1_acc,val_top5_acc,train_micro_f1,train_macro_f1,val_micro_f1,val_macro_f1,grad_norm,lr
1,86.63,86.63,300.36,4.129068,3.947188,0.05711,0.089939,0.287239,0.05711,0.038871,0.089939,0.052182,4.86487,0.001
2,174.0,87.35,297.88,3.841061,3.722434,0.111107,0.142857,0.383929,0.111107,0.080603,0.142857,0.090187,3.459973,0.001
3,254.36,80.35,323.85,3.671143,3.648154,0.148002,0.153963,0.41703,0.148002,0.116603,0.153963,0.114723,3.302985,0.001
4,335.0,80.63,322.71,3.541049,3.534332,0.179862,0.183362,0.45993,0.179862,0.146485,0.183362,0.141584,3.128452,0.001
5,411.14,76.13,341.79,3.448547,3.435439,0.204727,0.209495,0.490636,0.204727,0.171168,0.209495,0.168147,3.029292,0.001
6,491.1,79.95,325.47,3.368871,3.360123,0.221791,0.223868,0.516333,0.221791,0.189287,0.223868,0.182145,2.954735,0.001
7,569.63,78.52,331.39,3.298839,3.329403,0.238586,0.244991,0.526786,0.238586,0.207276,0.244991,0.208397,2.872536,0.001
8,642.68,73.03,356.27,3.237072,3.305061,0.257302,0.246733,0.53615,0.257302,0.227645,0.246733,0.2102,2.878116,0.001
9,724.85,82.16,316.71,3.176643,3.323261,0.272291,0.234974,0.531577,0.272291,0.243675,0.234974,0.209485,2.874981,0.001
10,797.15,72.3,359.91,3.131088,3.221494,0.283666,0.265244,0.56446,0.283666,0.257138,0.265244,0.236864,2.851564,0.0005
11,869.75,72.59,358.46,2.994033,3.067308,0.320638,0.307709,0.606272,0.320638,0.295662,0.307709,0.279056,2.844345,0.0005
12,932.07,62.31,417.61,2.940388,3.070622,0.336933,0.315331,0.608014,0.336933,0.312696,0.315331,0.289082,2.995207,0.0005
13,999.28,67.2,387.19,2.902973,3.03455,0.348347,0.318815,0.624782,0.348347,0.324458,0.318815,0.295868,3.063468,0.0005
14,1068.63,69.34,375.26,2.864715,3.007992,0.358186,0.325784,0.627395,0.358186,0.334515,0.325784,0.296485,3.104951,0.0005
15,1148.09,79.45,327.51,2.827033,3.001801,0.370792,0.332317,0.639155,0.370792,0.348152,0.332317,0.304081,3.188754,0.0005
16,1211.39,63.29,411.14,2.802799,2.984855,0.376633,0.332535,0.636977,0.376633,0.355239,0.332535,0.303818,3.272201,0.0005
17,1275.99,64.6,402.79,2.764914,2.981561,0.388394,0.332099,0.639591,0.388394,0.367126,0.332099,0.304943,3.317571,0.0005
18,1345.88,69.87,372.39,2.737443,2.940969,0.393121,0.350392,0.646341,0.393121,0.372067,0.350392,0.329378,3.353837,0.0005
19,1425.67,79.78,326.16,2.709216,2.971324,0.403805,0.349956,0.643946,0.403805,0.384406,0.349956,0.325896,3.420847,0.0005
20,1513.01,87.34,297.92,2.681645,2.9285,0.41153,0.354965,0.653963,0.41153,0.392042,0.354965,0.330911,3.431591,0.00025
21,1579.14,66.12,393.55,2.582831,2.858764,0.438125,0.36912,0.676611,0.438125,0.416985,0.36912,0.34888,3.45265,0.00025
22,1658.21,79.05,329.15,2.555649,2.867063,0.448002,0.376524,0.67378,0.448002,0.427325,0.376524,0.356521,3.546125,0.00025
23,1721.56,63.34,410.81,2.529914,2.851168,0.452959,0.370862,0.6777,0.452959,0.434456,0.370862,0.353848,3.60756,0.00025
24,1805.53,83.97,309.88,2.505677,2.850241,0.463413,0.372822,0.678789,0.463413,0.444178,0.372822,0.35125,3.691758,0.00025
25,1888.61,83.09,313.17,2.489879,2.856151,0.465796,0.376307,0.670514,0.465796,0.446616,0.376307,0.356047,3.759865,0.00025
26,1973.98,85.37,304.78,2.47557,2.853918,0.470292,0.378267,0.683362,0.470292,0.452077,0.378267,0.35406,3.803018,0.00025
27,2053.02,79.04,329.22,2.449237,2.840147,0.478363,0.388066,0.676829,0.478363,0.459373,0.388066,0.366496,3.846837,0.00025
28,2132.64,79.61,326.85,2.436011,2.847086,0.480938,0.382622,0.676394,0.480938,0.461728,0.382622,0.365904,3.903958,0.00025
29,2207.96,75.31,345.49,2.417001,2.852334,0.486703,0.377178,0.679007,0.486703,0.468887,0.377178,0.355605,3.990368,0.00025
30,2286.97,79.01,329.31,2.406456,2.842426,0.494543,0.381315,0.685758,0.494543,0.475927,0.381315,0.357489,4.018265,0.000125
31,2367.03,80.06,325.02,2.333304,2.813293,0.517794,0.395688,0.687064,0.517794,0.500027,0.395688,0.376147,3.980708,0.000125
32,2432.56,65.52,397.15,2.324462,2.802702,0.519908,0.393946,0.690767,0.519908,0.502408,0.393946,0.372706,4.058313,0.000125
33,2507.93,75.37,345.22,2.308358,2.823752,0.523636,0.383929,0.682927,0.523636,0.505486,0.383929,0.364828,4.112013,0.000125
34,2581.63,73.7,353.08,2.301441,2.80443,0.526211,0.393075,0.692291,0.526211,0.508517,0.393075,0.375153,4.20064,0.000125
35,2651.08,69.46,374.61,2.284999,2.804963,0.529669,0.398084,0.690113,0.529669,0.511965,0.398084,0.378639,4.21964,0.000125
36,2732.12,81.03,321.13,2.268635,2.814778,0.53774,0.396559,0.687936,0.53774,0.520749,0.396559,0.37699,4.283849,0.000125
37,2816.8,84.68,307.29,2.26683,2.821587,0.537317,0.395253,0.688153,0.537317,0.520073,0.395253,0.376715,4.325328,0.000125
38,2902.6,85.8,303.26,2.255021,2.837448,0.541929,0.389373,0.686629,0.541929,0.525528,0.389373,0.370949,4.377553,0.000125
39,2989.12,86.52,300.75,2.248652,2.820675,0.54339,0.396124,0.681185,0.54339,0.526195,0.396124,0.374001,4.419491,0.000125
40,3068.9,79.78,326.15,2.233206,2.826313,0.546964,0.391551,0.690767,0.546964,0.529936,0.391551,0.371008,4.460629,6.25e-05
41,3148.64,79.74,326.29,2.200096,2.834792,0.55857,0.395253,0.686411,0.55857,0.541644,0.395253,0.37798,4.423112,6.25e-05
42,3231.78,83.14,312.98,2.191542,2.809075,0.563182,0.399608,0.692726,0.563182,0.547004,0.399608,0.382251,4.470257,6.25e-05
43,3312.19,80.4,323.64,2.185617,2.81075,0.564719,0.397213,0.694033,0.564719,0.549769,0.397213,0.379118,4.505752,6.25e-05
44,3387.1,74.91,347.33,2.174085,2.819437,0.569101,0.393946,0.698171,0.569101,0.55265,0.393946,0.37521,4.547729,6.25e-05
45,3470.84,83.74,310.72,2.173563,2.806133,0.567256,0.400697,0.696864,0.567256,0.550893,0.400697,0.38194,4.583166,6.25e-05
46,3557.76,86.91,299.38,2.167383,2.81344,0.570369,0.392857,0.693162,0.570369,0.554358,0.392857,0.374553,4.611229,6.25e-05
47,3642.19,84.43,308.17,2.154482,2.809619,0.574289,0.393946,0.696429,0.574289,0.558052,0.393946,0.375643,4.598128,6.25e-05
48,3723.52,81.33,319.94,2.149021,2.823938,0.576172,0.397648,0.685976,0.576172,0.560591,0.397648,0.377861,4.669084,6.25e-05
49,3812.09,88.57,293.77,2.146251,2.823887,0.574327,0.399172,0.692291,0.574327,0.557403,0.399172,0.378861,4.69692,6.25e-05
50,3901.4,89.31,291.34,2.140649,2.816804,0.57794,0.405706,0.691638,0.57794,0.562299,0.405706,0.386155,4.736559,3.125e-05
51,3979.46,78.04,333.41,2.118161,2.826137,0.584166,0.393946,0.690984,0.584166,0.56844,0.393946,0.376724,4.659278,3.125e-05
52,4051.83,72.37,359.55,2.12159,2.82017,0.584973,0.403092,0.692944,0.584973,0.569591,0.403092,0.388397,4.704785,3.125e-05
53,4123.14,71.3,364.93,2.111033,2.817211,0.590085,0.400044,0.685322,0.590085,0.573538,0.400044,0.38025,4.726192,3.125e-05
54,4212.16,89.02,292.3,2.112271,2.835118,0.588278,0.399172,0.690113,0.588278,0.572012,0.399172,0.381688,4.749213,3.125e-05
55,4293.79,81.63,318.75,2.108645,2.83103,0.58751,0.395035,0.690113,0.58751,0.571561,0.395035,0.377879,4.759458,3.125e-05
56,4381.37,87.58,297.1,2.101516,2.818259,0.592006,0.398955,0.698606,0.592006,0.576038,0.398955,0.382156,4.760073,3.125e-05
57,4468.04,86.67,300.23,2.103409,2.820001,0.588009,0.392422,0.692509,0.588009,0.572941,0.392422,0.375033,4.807607,3.125e-05
58,4551.69,83.65,311.04,2.09613,2.83095,0.593121,0.398737,0.692509,0.593121,0.577606,0.398737,0.381351,4.817018,3.125e-05
59,4637.92,86.22,301.77,2.09111,2.817876,0.593889,0.404181,0.692073,0.593889,0.578015,0.404181,0.388488,4.837663,3.125e-05
60,4723.98,86.05,302.37,2.0913,2.836399,0.593351,0.396124,0.684016,0.593351,0.577435,0.396124,0.378916,4.872256,1.5625e-05
